"pen","customer_id","request_id","cancel"
0,"A70021341571","R15373393435",1
0,"A70021341571","R31463486736",0
0,"A70021341571","R56237531007",0
0,"A70021341571","R47568201221",0
0,"A70021341571","R76649728980",0
0,"A70021341571","R340623845245",0
0,"A70021341571","R128605360422",0
0,"A70021341571","R63384837593",1
0,"A70021341571","R284118104162",0
0,"A70021341571","R20203658601",0
0,"A70021341571","R75723282845",0
0,"A70021341571","R140548758542",1
0,"A70021341571","R152612691216",1
0,"A70021341571","R47306117070",0
0,"A70021341571","R59383512287",0
0,"A70021341571","R96552251643",0
0,"A70021341571","R74713761519",0
0,"A70021341571","R17343336640",0
0,"A70021341571","R827902792",0
0,"A70021341571","R62822004269",0
0,"A70021341571","R109271902195",0
0,"A70021341571","R60842562389",0
0,"A70021341571","R122416391035",0
0,"A70021341571","R145473107378",1
0,"A70021341571","R318145664630",0
0,"A70021341571","R78589570367",0
0,"A70021341571","R71649668762",1
0,"A70021341571","R170623377676",0
0,"A70021341571","R34388251452",0
0,"A70021341571","R55447306683",0
0,"A70021341571","R69930750742",0
0,"A70021341571","R42681678767",0
0,"A70021341571","R142859216428",1
0,"A70021341571","R101064997856",0
0,"A70021341571","R71528563060",0
0,"A70021341571","R292875147931",0
0,"A70021341571","R81773553421",0
0,"A70021341571","R37555892842",0
0,"A70021341571","R85361106675",0
0,"A70021341571","R79727499386",0
0,"A70021341571","R58338942",1
0,"A70021341571","R194036929545",0
0,"A70021341571","R112949794266",1
0,"A70021341571","R85634092647",1
0,"A70021341571","R142655426062",0
0,"A70021341571","R328558527379",0
0,"A146570996307","R84270554730",0
0,"A146570996307","R109632286881",0
0,"A146570996307","R60222887842",0
0,"A146570996307","R31748103007",1
0,"A146570996307","R31475449735",0
0,"A146570996307","R55404560440",1
0,"A146570996307","R4601811400",0
0,"A146570996307","R45805144827",0
0,"A146570996307","R149992547626",0
0,"A146570996307","R1651699774",0
0,"A146570996307","R31289561237",1
0,"A146570996307","R41781297238",0
0,"A146570996307","R21428969282",1
0,"A146570996307","R11033780161",0
0,"A146570996307","R23519514288",0
0,"A146570996307","R75420272770",0
0,"A146570996307","R236569241261",0
0,"A146570996307","R26615342396",0
0,"A146570996307","R63117700576",0
0,"A146570996307","R10369078848",0
0,"A146570996307","R104829259623",1
0,"A146570996307","R122869543205",1
0,"A146570996307","R72583780715",0
0,"A146570996307","R23479602029",0
0,"A146570996307","R72244766289",0
0,"A146570996307","R17545272966",0
0,"A146570996307","R38561628137",0
0,"A146570996307","R47744721690",1
0,"A146570996307","R71619598125",0
0,"A146570996307","R60965386865",0
0,"A146570996307","R101607287734",1
0,"A146570996307","R11958452093",0
0,"A146570996307","R152275513976",0
0,"A146570996307","R27755618821",1
0,"A146570996307","R145378046058",0
0,"A146570996307","R100970410181",1
0,"A146570996307","R15471450962",0
0,"A146570996307","R79043637611",0
0,"A146570996307","R11848372778",1
0,"A146570996307","R44436287184",0
0,"A146570996307","R58542833140",0
0,"A135027738695","R28344182344",1
0,"A135027738695","R64938296078",0
0,"A135027738695","R32852064188",0
0,"A135027738695","R1890500019",1
0,"A135027738695","R150285064631",0
0,"A135027738695","R69724054156",0
0,"A135027738695","R11284367450",1
0,"A135027738695","R65216611001",1
0,"A135027738695","R21556535112",0
0,"A135027738695","R62187481321",0
0,"A135027738695","R112208246392",0
0,"A135027738695","R133664261653",0
0,"A135027738695","R38408433712",0
0,"A135027738695","R60560751394",0
0,"A135027738695","R20274839020",0
0,"A135027738695","R97051947824",0
0,"A135027738695","R187815988913",0
0,"A135027738695","R117326159357",0
0,"A135027738695","R33519373831",1
0,"A135027738695","R138122985238",1
0,"A135027738695","R82065524177",0
0,"A135027738695","R426390632",0
0,"A135027738695","R119535000431",0
0,"A135027738695","R96947575513",1
0,"A135027738695","R72481570757",0
0,"A135027738695","R33557970423",0
0,"A135027738695","R135383250577",1
0,"A135027738695","R78711648747",0
0,"A135027738695","R21064133596",0
0,"A135027738695","R69388799689",0
0,"A135027738695","R48227685344",1
0,"A135027738695","R57947749679",1
0,"A135027738695","R83921804073",1
0,"A135027738695","R12774321676",1
0,"A135027738695","R149855067495",0
0,"A135027738695","R115005987709",0
0,"A135027738695","R237987590166",1
0,"A135027738695","R7300630113",1
0,"A135027738695","R118423837996",0
0,"A135027738695","R55335415561",0
0,"A135027738695","R156638332408",0
0,"A135027738695","R20703915912",0
0,"A135027738695","R24849496956",0
0,"A135027738695","R128978105956",0
0,"A135027738695","R18186691270",1
0,"A135027738695","R53825148525",0
0,"A135027738695","R105151584137",0
0,"A135027738695","R38856470039",0
0,"A135027738695","R107552181890",1
0,"A135027738695","R234811082080",0
0,"A135027738695","R147771301574",0
0,"A135027738695","R167743590642",0
0,"A135027738695","R60045413483",1
0,"A135027738695","R29097288792",0
0,"A135027738695","R18566350402",0
0,"A135027738695","R73050133601",0
0,"A135027738695","R99626526800",0
0,"A87743401922","R254101027359",1
0,"A87743401922","R93831675237",0
0,"A87743401922","R210343873323",0
0,"A87743401922","R32622319648",0
0,"A87743401922","R9891639647",1
0,"A87743401922","R41679439571",0
0,"A87743401922","R78431124030",1
0,"A87743401922","R186720412884",0
0,"A87743401922","R117957056869",0
0,"A87743401922","R59794612714",0
0,"A87743401922","R151705957248",0
0,"A87743401922","R137240900171",0
0,"A87743401922","R114501769744",0
0,"A87743401922","R167249934336",0
0,"A87743401922","R39865739232",0
0,"A87743401922","R199716141403",1
0,"A87743401922","R20961527757",0
0,"A87743401922","R65308354081",0
0,"A87743401922","R118050094473",0
0,"A87743401922","R6210705041",0
0,"A87743401922","R65499988929",0
0,"A87743401922","R51907906575",0
0,"A87743401922","R99475421378",1
0,"A87743401922","R67542876060",0
0,"A87743401922","R104930409309",0
0,"A87743401922","R158537643260",1
0,"A87743401922","R327529899",1
0,"A87743401922","R85408303210",0
0,"A87743401922","R156897233409",0
0,"A87743401922","R179853691586",1
0,"A87743401922","R91732029005",0
0,"A87743401922","R4774369656",0
0,"A87743401922","R85484843084",1
0,"A87743401922","R66573231608",1
0,"A87743401922","R40997856701",0
0,"A87743401922","R69750930922",0
0,"A87743401922","R109953102064",0
0,"A87743401922","R121049327131",1
0,"A87743401922","R255644996287",0
0,"A87743401922","R24052933961",0
