pen,customer_id,request_id,cancel,booking
1,89204452630,114770379529,0,59.85
1,89204452630,47512844876,0,19.44
1,89204452630,70580158775,0,75.36
1,89204452630,98745143462,1,69.81
1,89204452630,117442435167,0,60.41
1,89204452630,27525536216,0,78.89
1,89204452630,48607417407,1,81.56
1,89204452630,12944964828,0,64.1
1,89204452630,7428013323,0,46.87
1,89204452630,43355491435,0,48.78
1,89204452630,26918981572,0,16.64
1,89204452630,132427482435,1,47.29
1,89204452630,6664588892,0,90.97
1,89204452630,117903691834,1,67.15
1,89204452630,37962601669,0,16.81
1,89204452630,7019061668,1,99.15
1,89204452630,124276820501,0,22.07
1,89204452630,47104108989,1,53.14
1,89204452630,120318380783,0,62.97
1,89204452630,190084060600,0,70.22
1,89204452630,21604748268,0,35.07
1,89204452630,44156780621,0,39.26
1,89204452630,147787889252,0,64.27
1,89204452630,1172094215,0,51.02
1,89204452630,51451958946,0,54.85
1,89204452630,6800200098,0,10.11
1,89204452630,51220235161,0,82.45
1,89204452630,21735430315,1,52.35
1,89204452630,126352653900,0,20.98
1,89204452630,94061833500,1,94.81
1,40703767377,62717802008,0,91.21
1,40703767377,118161604585,0,80.96
1,40703767377,79849259299,0,65.01
1,40703767377,109607884191,0,70.25
1,40703767377,68180030125,0,47.3
1,40703767377,146609994057,0,12.45
1,40703767377,215083151716,0,35.75
1,40703767377,63147866952,0,17.16
1,40703767377,52479326537,0,39.05
1,40703767377,5431934191,0,60.62
1,40703767377,15277113582,0,88.59
1,40703767377,44660430584,0,81.28
1,40703767377,99986566429,0,38.75
1,40703767377,6368246115,0,11.49
1,40703767377,34198220812,0,21.17
1,40703767377,41962001567,0,69.18
1,40703767377,125032334624,0,98.73
1,40703767377,51808806009,0,88.65
1,40703767377,222697304747,0,16.22
1,40703767377,1105739184,0,24.86
1,40703767377,3662713325,0,83.54
1,40703767377,104596506179,0,27.81
1,40703767377,105676837280,0,19.98
1,40703767377,12730643247,1,26.02
1,40703767377,190987538401,0,12.08
1,40703767377,130901449638,0,43.09
1,40703767377,12333365945,0,53.8
1,40703767377,91809327277,1,61.32
1,40703767377,6901253493,0,77.76
1,76263789186,145005172539,0,96.41
1,76263789186,46433187688,0,62.19
1,76263789186,89164888759,0,70.17
1,76263789186,160106900869,0,32.02
1,76263789186,131495268982,1,65.03
1,76263789186,75848026088,0,46.26
1,76263789186,47299641643,0,36.2
1,76263789186,26541080641,0,32.17
1,76263789186,55689242457,0,95.23
1,76263789186,23808231733,0,45.22
1,76263789186,90335226681,0,54.14
1,76263789186,99316103364,0,89.41
1,76263789186,119217576645,0,91.24
1,76263789186,18930131629,0,49.2
1,76263789186,46655156512,0,80.85
1,76263789186,155292460321,0,91.51
1,76263789186,253460918188,1,58.96
1,76263789186,62509730939,0,25.3
1,76263789186,28913004413,0,45.31
1,76263789186,121227250911,0,17.89
1,76263789186,4797214865,0,44.09
1,76263789186,109086219410,0,78.76
1,76263789186,184461660062,0,69.3
1,76263789186,83929811438,0,84.86
1,76263789186,86406259628,0,41.53
1,76263789186,122510613930,0,96.91
1,39673496768,176743237352,0,11.56
1,39673496768,87739940124,0,31.93
1,39673496768,13652171397,0,35.12
1,39673496768,54985669953,0,60.95
1,39673496768,53417189927,0,25.36
1,39673496768,120234446551,0,35.98
1,39673496768,19401443155,0,90.74
1,39673496768,901065493,0,98.01
1,39673496768,68123851723,0,43.68
1,39673496768,15720650747,0,39.64
1,39673496768,75560083145,0,43.76
1,39673496768,80644555730,0,47.2
1,39673496768,110926906033,0,55.18
1,39673496768,57694426397,0,60.17
1,39673496768,53271261004,1,91.36
1,39673496768,113223007728,0,66.34
1,39673496768,42682994785,0,71.66
1,39673496768,76221718,1,22.43
1,39673496768,56147967497,0,58.49
1,39673496768,313481194444,0,24.63
1,39673496768,130508882443,0,17.42
1,2526426083,134860066399,1,71.61
1,2526426083,91236389527,0,46.47
1,2526426083,12870731116,0,62.15
1,2526426083,105376277309,1,49.6
1,2526426083,6731941763,0,60.87
1,2526426083,44005797486,0,62.58
1,2526426083,20790451956,0,55.7
1,2526426083,56705704209,0,26.24
1,2526426083,148019961983,1,93.31
1,2526426083,38913882692,1,23.14
1,2526426083,82186871302,1,66.82
1,2526426083,16356319564,0,45.49
1,2526426083,178140344205,0,65.36
1,2526426083,36967512010,1,77.58
1,2526426083,120840558366,0,95.17
1,2526426083,41447250392,0,33.89
1,2526426083,9239646497,0,38.15
1,2526426083,87915785796,0,70.61
1,2526426083,78519406095,1,12.68
1,2526426083,74985237107,0,72.47
1,2526426083,181580141896,0,35.36
1,2526426083,61196312150,0,72.72
1,2526426083,209700034790,0,22.35
1,2526426083,80462095683,1,58.31
1,2526426083,34174157458,1,33
1,2526426083,39013763777,0,23.78
